City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Damietta,EG,73.29,clear sky,31.4165,31.8133,SULIMAN INN
275,Russell,US,82.0,light rain,32.3502,-85.1999,Macs
278,Altamira,BR,71.76,overcast clouds,-3.2033,-52.2064,Requinte Hotel
279,Erbaa,TR,65.41,overcast clouds,40.6689,36.5675,Erbaa Öğretmenevi
282,Grand Gaube,MU,73.8,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
283,Morondava,MG,70.07,clear sky,-20.2833,44.2833,La Case Bambou
285,Lompoc,US,79.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
286,Komsomolskiy,UZ,72.32,scattered clouds,40.4272,71.7189,Ikathouse
288,Ejido,VE,68.83,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
290,Tak,TH,71.31,overcast clouds,16.5833,98.8333,ไร่เคียงตะวัน ณ ม่อนหมอกตะวัน
291,Sinnamary,GF,76.78,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
297,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
298,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
302,Najran,SA,81.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
304,Lorengau,PG,84.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
307,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
311,Rincon,US,82.36,scattered clouds,32.296,-81.2354,Days Inn Rincon
313,Sao Felix Do Xingu,BR,72.54,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
315,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
321,Garissa,KE,74.44,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
323,Luanda,AO,71.6,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
325,Banting,MY,81.55,broken clouds,2.8167,101.5,Hotel Intan Jugra
326,Bethel,US,68.85,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
328,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
330,Doume,CM,68.58,overcast clouds,4.2333,13.45,Hotel Universel
331,Anshun,CN,68.27,light rain,26.25,105.9333,安顺麦吉风格酒店
332,Kudahuvadhoo,MV,82.89,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
335,Rolla,US,71.74,overcast clouds,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
336,Itarema,BR,76.44,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
337,Union,US,73.63,broken clouds,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
341,Erzin,TR,69.55,overcast clouds,36.9559,36.2,Artemis Otel
342,La Orilla,MX,79.86,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
343,Bandarbeyla,SO,79.2,overcast clouds,9.4942,50.8122,JABIR HOTEL
344,Desbiens,CA,65.05,broken clouds,48.4178,-71.9495,Motel Lac St-Jean Inc
345,Ajdabiya,LY,75.88,clear sky,30.7554,20.2263,Almadina Hotel
348,Belmonte,BR,73.24,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
349,Escarcega,MX,73.4,broken clouds,18.6089,-90.7454,Hotel Maria Isabel
354,Trinidad,BO,69.51,broken clouds,-14.8333,-64.9,Hotel Piesta
357,Ewa Beach,US,84.15,overcast clouds,21.3156,-158.0072,Base Lodging
362,Sabang,ID,79.99,overcast clouds,5.8933,95.3214,Hotel Citra
363,Myitkyina,MM,73.98,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
364,Bocana De Paiwas,NI,78.62,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
365,Mareeba,AU,78.48,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
367,Coahuayana,MX,78.51,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
369,Inhambane,MZ,68.56,light rain,-23.865,35.3833,Oceano
370,Lebrija,ES,67.84,clear sky,36.9208,-6.0753,Hostal Mellizo
371,Fairbanks,US,73.6,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
373,Tura,IN,76.28,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
375,Ugoofaaru,MV,82.49,clear sky,5.6667,73.0,Ungoofaaru Inn
378,Faya,SA,69.91,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
382,Sao Filipe,CV,77.04,few clouds,14.8961,-24.4956,Hotel Xaguate
384,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
390,Peleduy,RU,65.59,overcast clouds,59.6289,112.7406,Гостиница «Уют»
392,Pires Do Rio,BR,66.6,broken clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
393,Kralendijk,BQ,80.58,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
394,Cedar City,US,81.57,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
395,Gunjur,GM,78.87,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
396,Road Town,VG,80.69,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
398,Cururupu,BR,74.28,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
399,Matara,LK,78.04,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
404,Fort Nelson,CA,74.79,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
406,Kawalu,ID,75.85,scattered clouds,-7.3817,108.2082,West Jontor
407,Sao Jose Da Coroa Grande,BR,75.72,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
408,Lazaro Cardenas,MX,79.95,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
409,Maryborough,AU,72.1,clear sky,-25.5333,152.7,Blue Shades Motel
410,Ashqelon,IL,67.89,clear sky,31.6693,34.5715,Leonardo Ashkelon
414,Dingle,PH,84.4,few clouds,10.9995,122.6711,SEGAYA PROPERTY
415,Mudigere,IN,66.65,overcast clouds,13.1333,75.6333,MoonLight Homestay
416,Ormara,PK,80.56,clear sky,25.2088,64.6357,Kenara Colony house for Rent
419,Kathmandu,NP,71.82,mist,27.7167,85.3167,Hotel Shanker Kathmandu
422,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
423,Naples,IT,76.14,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
424,Samarai,PG,80.35,overcast clouds,-10.6167,150.6667,Nuli Sapi
427,Korla,CN,70.65,clear sky,41.7597,86.1469,Gulisitan Hotel
428,Papara,BR,75.6,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
429,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
430,Fortuna,US,68.09,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
433,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
434,Seoul,KR,74.77,haze,37.5683,126.9778,롯데호텔 서울
437,Barra Do Garcas,BR,72.82,overcast clouds,-15.89,-52.2567,Pousada Tropical
438,Bubaque,GW,80.37,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
439,Saint Anthony,US,73.33,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
440,Abha,SA,69.62,clear sky,18.2164,42.5053,Abha Hotel
442,Marsh Harbour,BS,80.28,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
443,Cairo,EG,75.96,clear sky,30.0626,31.2497,Grand Hotel
445,Tomatlan,MX,76.96,broken clouds,19.9333,-105.25,El Salvial
448,Wucheng,CN,79.7,moderate rain,29.6008,118.175,Xiuwu Restaurant
450,Manggar,ID,84.0,scattered clouds,-2.8833,108.2667,Guest Hotel
452,Havelock,US,82.38,few clouds,34.8791,-76.9013,Sherwood Motel
453,Carutapera,BR,76.08,overcast clouds,-1.195,-46.02,Lidera
454,Nouadhibou,MR,69.78,overcast clouds,20.931,-17.0347,El Medina
460,Puerto Escondido,MX,81.5,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
461,Gavirate,IT,70.34,overcast clouds,45.8401,8.7198,Sunset Hotel
462,Tual,ID,83.97,clear sky,-5.6667,132.75,Grand Vilia Hotel
468,Barra,BR,76.8,broken clouds,-11.0894,-43.1417,Motel Albatroz
469,Ponta Delgada,PT,68.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
470,Guozhen,CN,84.15,broken clouds,34.3659,107.359,Yucai Hotel
471,Ballina,AU,66.02,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
472,Hirara,JP,80.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
473,Leon,MX,78.84,clear sky,21.1167,-101.6667,Enterprise Inn Poliforum
474,Gladstone,AU,71.53,overcast clouds,-23.85,151.25,Highpoint International Hotel
475,Sawakin,SD,83.71,clear sky,19.1059,37.3321,فندق الدويم
478,Bodden Town,KY,80.01,few clouds,19.2833,-81.25,Will T Place
482,Mount Isa,AU,78.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
483,Namatanai,PG,84.22,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
485,Kinablangan,PH,83.91,scattered clouds,7.6947,126.5503,Morales Eatery and Lodging House
488,Yichang,CN,81.66,overcast clouds,30.7144,111.2847,Gezhouba Hotel
489,Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
490,Hanyang,CN,78.28,broken clouds,32.1371,105.5126,Forestry Hostel
491,Huilong,CN,75.92,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
493,Niquelandia,BR,70.23,broken clouds,-14.4739,-48.4597,Hotel Suinã
495,Clarksburg,US,69.91,overcast clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
498,Lengshuitan,CN,81.39,overcast clouds,26.4111,111.5956,Jialong Hotel
499,Mayo,US,75.72,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
500,Biak,ID,82.29,overcast clouds,-0.9131,122.8766,Penginapan Kim
501,Marrakesh,MA,66.27,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
502,Shimoda,JP,73.76,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
503,Timizart,DZ,72.05,overcast clouds,36.8,4.2667,yefssah restaurant
506,Liku,ID,80.98,broken clouds,-0.7275,119.8922,Wahyu
509,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
510,Santa Flavia,IT,79.77,clear sky,38.085,13.5351,La Caletta
511,Lahat,ID,76.98,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
512,Bocas Del Toro,PA,77.22,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
513,Salinas,US,82.49,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
514,Kirksville,US,71.55,clear sky,40.1948,-92.5833,Budget Host-Village Inn
515,Mogadishu,SO,79.14,overcast clouds,2.0371,45.3438,Hotel Juba
516,Raton,US,68.34,broken clouds,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
518,Kieta,PG,84.0,few clouds,-6.2167,155.6333,Uruna Bay Retreat
520,Pontes E Lacerda,BR,77.34,overcast clouds,-15.2261,-59.3353,Hotel Bressan
521,Chiang Khong,TH,76.73,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
528,Urucui,BR,79.92,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
530,Scranton,US,69.91,overcast clouds,41.409,-75.6624,Radisson Lackawanna Station Hotel Scranton
533,Puerto Ayacucho,VE,74.77,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
534,Plainfield,US,73.09,overcast clouds,40.6168,-74.4173,Howard Johnson by Wyndham North Plainfield
538,Quatre Cocos,MU,73.51,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
540,Harper,LR,78.03,scattered clouds,4.375,-7.7169,Screensaver
542,Pacific Grove,US,77.02,clear sky,36.6177,-121.9166,Lovers Point Inn
545,Khandbari,NP,74.86,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
546,Kuching,MY,80.82,light rain,1.55,110.3333,Hilton Kuching
547,Les Cayes,HT,77.31,broken clouds,18.2,-73.75,Villa Orphee
553,Rangpo,IN,77.7,broken clouds,27.1833,88.5333,Hotel Darpad
554,Omboue,GA,72.77,overcast clouds,-1.5746,9.2618,Hotel Olako
557,Nibbar,TN,77.52,scattered clouds,36.2941,8.7666,دار الضيافة ألف ليلة وليلة
560,Gizo,SB,84.38,broken clouds,-8.103,156.8419,Imagination Island
561,Madison Heights,US,75.47,clear sky,42.4859,-83.1052,Red Roof Inn Detroit - Warren
562,Mananjary,MG,66.06,light rain,-21.2167,48.3333,Vahiny Lodge
563,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
566,Kirakira,SB,83.57,broken clouds,-10.4544,161.9205,SanBiz Lodge
574,Namibe,AO,73.38,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
575,Nizwa,OM,78.04,clear sky,22.9333,57.5333,Orient Apartments
578,Pajan,EC,71.38,light rain,-1.5667,-80.4167,Cecadel
579,Labuhan,ID,80.56,clear sky,-6.8844,112.2051,DoubleFAG
