City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Winnemucca,US,40.973,-117.7357,80.65,14,0,12.66,clear sky
251,Jalu,LY,29.0331,21.5482,79.79,35,0,10.65,clear sky
252,Achinsk,RU,56.2694,90.4993,43.45,73,93,10.85,overcast clouds
253,Owando,CG,-0.4819,15.8999,70.03,96,100,1.92,overcast clouds
254,Waddan,LY,29.1614,16.139,77.2,28,0,2.91,clear sky
255,Esso,RU,55.9333,158.7,51.35,64,9,1.74,clear sky
256,Touba,CI,8.2833,-7.6833,70.56,93,4,3.04,light rain
257,Churapcha,RU,62.0025,132.4325,67.14,50,16,10.22,few clouds
258,Hambantota,LK,6.1241,81.1185,79.14,100,40,8.05,scattered clouds
259,Aklavik,CA,68.2191,-135.0107,43.0,84,100,3.38,overcast clouds
260,Pimentel,PE,-6.8367,-79.9342,63.91,82,52,11.5,broken clouds
261,Impfondo,CG,1.6381,18.0667,70.39,93,38,2.26,scattered clouds
262,Laerdalsoyri,NO,61.098,7.4816,50.94,99,100,3.06,overcast clouds
263,Gondanglegi,ID,-7.7479,112.0132,80.26,79,38,9.75,scattered clouds
264,Leshukonskoye,RU,64.8989,45.7622,54.64,53,100,8.01,overcast clouds
265,Nantucket,US,41.2835,-70.0995,60.91,87,100,5.75,light rain
266,Westerland,DE,54.9079,8.3033,51.82,82,75,5.75,broken clouds
267,Sakaiminato,JP,35.55,133.2333,75.18,57,20,8.05,few clouds
268,Gamba,GA,-2.65,10.0,72.52,94,100,4.7,overcast clouds
269,Henties Bay,NA,-22.116,14.2845,68.85,38,100,10.63,overcast clouds
270,Bonavista,CA,48.6499,-53.1147,40.41,96,100,20.07,overcast clouds
271,Rieti,IT,42.4072,12.8592,68.72,51,31,5.28,scattered clouds
272,Cabo San Lucas,MX,22.8909,-109.9124,85.3,51,0,13.8,clear sky
273,Saldanha,ZA,-33.0117,17.9442,44.65,71,0,5.46,clear sky
274,Damietta,EG,31.4165,31.8133,73.29,80,0,5.21,clear sky
275,Russell,US,32.3502,-85.1999,82.0,78,0,3.44,light rain
276,Hameln,DE,52.104,9.3562,49.82,87,1,3.22,clear sky
277,Nikolskoye,RU,59.7035,30.7861,53.8,94,100,4.29,overcast clouds
278,Altamira,BR,-3.2033,-52.2064,71.76,99,98,1.61,overcast clouds
279,Erbaa,TR,40.6689,36.5675,65.41,86,100,2.89,overcast clouds
280,Waipawa,NZ,-41.4122,175.5153,49.39,82,100,12.15,overcast clouds
281,Santa,PH,17.486,120.4348,87.03,77,76,9.57,broken clouds
282,Grand Gaube,MU,-20.0064,57.6608,73.8,71,36,1.99,scattered clouds
283,Morondava,MG,-20.2833,44.2833,70.07,61,0,13.96,clear sky
284,Nivnice,CZ,48.9747,17.6476,55.33,71,17,3.96,few clouds
285,Lompoc,US,34.6391,-120.4579,79.02,70,0,18.01,clear sky
286,Komsomolskiy,UZ,40.4272,71.7189,72.32,33,31,4.61,scattered clouds
287,Phalombe,MW,-15.8064,35.6507,55.24,94,5,4.05,clear sky
288,Ejido,VE,8.5514,-71.2375,68.83,89,97,3.36,overcast clouds
289,Cruzeiro Do Sul,BR,-29.5128,-51.9853,51.49,86,53,3.02,broken clouds
290,Tak,TH,16.5833,98.8333,71.31,88,100,2.37,overcast clouds
291,Sinnamary,GF,5.3833,-52.95,76.78,88,100,8.7,overcast clouds
292,Krasnomayskiy,RU,57.6194,34.4099,53.71,90,100,1.12,overcast clouds
293,Ostrovnoy,RU,68.0531,39.5131,43.81,71,100,17.81,overcast clouds
294,Ilulissat,GL,69.2167,-51.1,35.62,75,75,4.61,broken clouds
295,Ahipara,NZ,-35.1667,173.1667,60.19,70,16,18.95,few clouds
296,Yerbogachen,RU,61.2767,108.0108,55.8,85,100,7.29,overcast clouds
297,Makakilo City,US,21.3469,-158.0858,82.72,59,100,14.97,overcast clouds
298,San Andres,CO,12.5847,-81.7006,78.82,89,75,3.44,broken clouds
299,Marzuq,YE,14.4,46.4667,74.12,34,94,3.94,overcast clouds
300,Lavrentiya,RU,65.5833,-171.0,42.71,78,55,8.39,broken clouds
301,Luderitz,NA,-26.6481,15.1594,68.23,29,0,12.95,clear sky
302,Najran,SA,17.4924,44.1277,81.25,16,51,3.71,broken clouds
303,San Quintin,MX,30.4833,-115.95,63.99,71,1,7.99,clear sky
304,Lorengau,PG,-2.0226,147.2712,84.49,68,100,9.35,overcast clouds
305,Prince Rupert,CA,54.3161,-130.3201,59.09,76,100,11.5,overcast clouds
306,Vinh,VN,18.6667,105.6667,85.21,70,100,8.72,overcast clouds
307,Padang,ID,-0.9492,100.3543,73.45,76,99,2.62,overcast clouds
308,Ngunguru,NZ,-35.6167,174.5,60.03,72,0,17.54,clear sky
309,Hokitika,NZ,-42.7167,170.9667,51.93,88,100,5.37,overcast clouds
310,Vostok,RU,46.4856,135.8833,50.94,76,100,3.4,overcast clouds
311,Rincon,US,32.296,-81.2354,82.36,65,40,6.91,scattered clouds
312,Dumas,US,35.8656,-101.9732,60.94,77,100,5.75,overcast clouds
313,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.54,97,92,2.08,overcast clouds
314,Dunedin,NZ,-45.8742,170.5036,48.79,69,100,13.0,overcast clouds
315,Cayenne,GF,4.9333,-52.3333,79.09,1,100,0.0,overcast clouds
316,Vardo,NO,70.3705,31.1107,42.78,87,40,17.27,scattered clouds
317,Askim,NO,59.5833,11.1629,52.38,94,100,1.12,overcast clouds
318,Asau,RO,46.4333,26.4,63.52,96,12,3.98,few clouds
319,Rundu,NA,-17.9333,19.7667,46.45,61,0,6.38,clear sky
320,Bojnurd,IR,37.4747,57.329,62.55,48,0,0.0,clear sky
321,Garissa,KE,-0.4536,39.6401,74.44,72,93,16.89,overcast clouds
322,Illapel,CL,-31.6308,-71.1653,55.9,56,100,2.95,overcast clouds
323,Luanda,AO,-8.8368,13.2343,71.6,94,40,8.05,scattered clouds
324,Barcelos,PT,41.5388,-8.6151,63.84,93,3,3.91,clear sky
325,Banting,MY,2.8167,101.5,81.55,77,79,3.67,broken clouds
326,Bethel,US,41.3712,-73.414,68.85,92,100,4.47,overcast clouds
327,Adrar,MR,20.5022,-10.0711,89.04,24,84,25.14,broken clouds
328,Cabedelo,BR,-6.9811,-34.8339,75.87,82,100,3.76,overcast clouds
329,Moose Factory,CA,51.2585,-80.6094,60.8,63,0,11.5,clear sky
330,Doume,CM,4.2333,13.45,68.58,91,99,0.94,overcast clouds
331,Anshun,CN,26.25,105.9333,68.27,92,100,3.09,light rain
332,Kudahuvadhoo,MV,2.6708,72.8944,82.89,74,15,13.73,few clouds
333,Pahrump,US,36.2083,-115.9839,94.51,7,100,5.01,overcast clouds
334,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,82,20,4.14,few clouds
335,Rolla,US,37.9514,-91.7713,71.74,77,93,4.79,overcast clouds
336,Itarema,BR,-2.9248,-39.9167,76.44,88,100,7.4,overcast clouds
337,Union,US,40.6334,-74.2663,73.63,89,75,6.91,broken clouds
338,Mumbwa,ZM,-14.9783,27.0619,57.31,65,59,10.6,broken clouds
339,Opuwo,NA,-18.0607,13.84,56.01,38,2,12.93,clear sky
340,Mount Gambier,AU,-37.8333,140.7667,52.09,75,100,11.34,light rain
341,Erzin,TR,36.9559,36.2,69.55,90,93,2.37,overcast clouds
342,La Orilla,MX,17.9833,-102.2333,79.86,72,8,9.84,clear sky
343,Bandarbeyla,SO,9.4942,50.8122,79.2,73,87,23.44,overcast clouds
344,Desbiens,CA,48.4178,-71.9495,65.05,82,75,2.93,broken clouds
345,Ajdabiya,LY,30.7554,20.2263,75.88,38,0,9.08,clear sky
346,Pozo Colorado,PY,-23.4923,-58.7972,48.92,75,0,4.45,clear sky
